name;rating;categories;benefits;description
Mineral Oil;Good;Emollient, Occlusive/Opacifying Agent, Solvent;Hydration;Clear, odorless oil derived from petroleum that is widely used in cosmetics. Despite mineral oil’s association with petroleum and the hype that it’s bad for or ages skin, keep in mind that petroleum is a natural ingredient derived from the earth. Once it’s purified to become mineral oil USP (cosmetics- and pharmaceutical-grade mineral oil), it has no resemblance to the original petroleum and isn’t a source of contaminants.Cosmetics-grade mineral oil and petrolatum are considered the safest, most non-sensitizing moisturizing ingredients ever found. Mineral oil and petrolatum are known to be efficacious in skin replenishing and are also among the most effective, established moisturizing ingredients available. The mineral oil in skincare products is certified as either USP (United States Pharmacopeia) or BP (British Pharmacopeia). It’s completely safe, soothing, non-sensitizing, and perfectly beneficial for skin.
Mint;Worst;Irritant, Fragrance: Synthetic and Natural, Plant Extracts;;Can be a skin sensitizer.
Mixed Fruit Extracts;Good;Plant Extracts, Irritant;;
Montan Wax;Good;Texture Enhancer;;A type of natural wax derived from lignite, which is a type of coal that’s made from wood. Most often used in place of other waxes such as beeswax. It functions as a texture enhancer.
Montmorillonite;Good;Absorbent, Texture Enhancer;Oil Control;Type of clay that’s a mix of bentonite (another clay) and fuller’s earth, the latter being a white to brown substance found in sediment. Like all clays, montmorillonite has absorbent properties and can be a helpful ingredient for oily skin. It also functions as a thickener.
Morinda Citrifolia;Good;Plant Extracts, Antioxidant;Soothing;
Moringa Oleifera Seed Oil;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;A non-fragrant plant oil that contains several antioxidants, including zeatin, quercetin, and vitamins A, C, and E. The oil is also a very good source of oleic acid, a monounsaturated fatty acid that can replenish skin and help guard against moisture loss. There's more: Moringa seed oil contains amino acids as well as plant sterols which can have a calming effect on skin. In short, it's one of the better plant oils for skin, and its monounsaturated fat content gives it a lighter, less greasy feel than highly saturated oils like coconut.
Morus Alba (White Mulberry) Root Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;"Morus alba (white mulberry) root extract has antioxidant properties, but its main benefit for skin has to do with calming signs of irritation along with its potential to fade the look of discolorations and uneven skin tone.
White mulberry root contains compounds known as flavonoids, some of which have been shown to interrupt the process that keeps discolorations looking more apparent.
Interestingly, some research has shown that mulberry twigs work in a different manner to improve uneven skin color, as the twig contains a different mix of beneficial ingredients than the root. The same is true for the leaves of this plant, which are a rich source of the skin tone-improving antioxidant oxyresveratrol (although this compound is also present in the root, it’s more concentrated in the leaf).
Overall, topical application of this plant extract helps calm stressed skin, which in turn reduces signs of environmental damage and fosters a brighter, more radiant skin tone."
Morus Bombycis Root Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;
Morus Nigra Root Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;
Mucopolysaccharide;Best;Humectant;Hydration;Also known as glycosaminoglycans. This is a large class of ingredients that includes hyaluronic acid.
Mucor Miehei Extract;Average;Exfoliant;Evens Skin Tone, Smooths Bumpy Skin;It has no established benefit for skin, though companies using this ingredient often describe its enzymatic action as being akin to exfoliation. If that is the case, there is no proof to support the claims.
Mugwort Extract;Average;Plant Extracts;;There is no research showing this extract has any benefit for skin.
Mulberry Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Dark Spot Fading, Evens Skin Tone;Non-fragrant plant extract (Latin name is Morus alba) whose various parts such as the leaf and root, have shown potential to brighten and improve the look of uneven skin tone. Concentration protocols have not been firmly established, so it’s best to look for mulberry extract in combination with other proven skin-brightening ingredients. Mulberry also works as an antioxidant and appears to be non-irritating.
Murumuru Seed Butter;Good;Emollient, Plant Extracts;Hydration;
Myrciaria Dubia (Camu Camu) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging;A small berry that, especially when fully ripe, possesses strong antioxidant capacity due to its levels of vitamin C, phenolic compounds, and other plant chemicals.Camu camu is a very juicy berry but a sharply acidic flavor, which is why it's rarely eaten in its natural state (similar to how cranberries in their natural state are very tart, but become palatable when mixed with sugar).Along with the components mentioned above, camu camu is also a source of minerals including sodium, potassium, calcium, zinc, magnesium, manganese, and copper. The fruit is also a source of fatty acids such as oleic acid as well as amino acids.All told, camu camu ranks among the most effective berries in terms of its antioxidant content and ability to thwart a wide range of damaging free radicals.Interestingly, despite having a very high vitamin C content, approximately 26% of it is lost during processing and storage, one more reason to ensure any product you use that contains this ingredient is airless or highly air-restrictive (no jars or clear packaging).
Myristamidopropyl PG-Dimonium Chloride Phosphate;Good;Cleansing Agent, Emulsifier, Humectant;Hydration;Myristamidopropyl PG-dimonium chloride phosphate is a plant-derived or synthetic ingredient that can be used as a cleansing agent, emulsifier, antistatic ingredient, or skin conditioner. It’s categorized as a quaternary ammonium salt that is sometimes used in skin care to enhance sensorial properties, and is appreciated by chemists because of its mild nature on skin.
Myristic Acid;Average;Cleansing Agent, Occlusive/Opacifying Agent;;Myristic acid is a cleansing agent that also creates foam and, due to its relation to soap, can be drying.
Myristoyl Hexapeptide-16;Best;Peptides;Hydration, Soothing;A synthetic, fatty acid-linked peptide known to improve skin's resilience, visibly calm, and help skin look and feel smoother and softer. It is made by combining myristic acid with hexapeptide-16.Myristoyl hexapeptide-16 is categorized as a protein-stimulating peptide, which means it can help skin's surface (which is primarily composed of the protein keratin) look better and become more resistant to moisture loss.
Myristoyl Pentapeptide-17;Best;Peptides;Hydration, Soothing;Myristoyl pentapeptide-17 is a synthetic peptide known to increase skin's hydration and resilience.
Myristoyl Tripeptide-31;Best;Peptides;Anti-Aging;A synthetic peptide made from combining the fatty acid myristic acid with tripeptide-31. This peptide is believed to have a retinol-like effect on skin's appearance, helping to improve texture, tone, and visible firmness.
Myristyl Alcohol;Good;Emollient, Cleansing Agent, Texture Enhancer;Hydration;A lighter-weight fatty alcohol that functions as a thickener, emulsion stabilizer, and emollient. It is also sometimes used as a surfactant, often with other surfactants. It is considered safe as used in cosmetics.
Myristyl Myristate;Good;Texture Enhancer, Emollient;Hydration;Myristyl myristate is used in cosmetics as a texture enhancer and emollient. It has a wetter feel and is best for dry skin.
Myristyl Nicotinate;Best;Humectant;Hydration, Anti-Aging, Dark Spot Fading;A derivative of nicotinic acid, a component of vitamin B3 (niacin) that isn’t the same ingredient as niacinamide, yet functions in nearly the same manner. There is research concerning myristyl nicotinate’s ability to improve a variety of skin concerns.
Myrrh;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;Fragrant gum resin that can be a skin sensitizer. There is little research showing it has any benefit for skin.
Myrtle Extract;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;Contains volatile oil and tannins. It contains 1,8-cineole, a constituent responsible for severe sensitivity. It is recommended that this not come in contact with skin.
Myrtus Communis Extract;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;Contains volatile oil and tannins. It contains 1,8-cineole, a constituent responsible for severe sensitivity. It is recommended that this not come in contact with skin.
N6-Furfuryladenine;Average;Plant Extracts;Anti-Aging;Technical name for kinetin.
N-Acetyl-L Tyrosine;Average;Antioxidant, Humectant;Anti-Aging, Hydration;
Napca;Best;Humectant;Hydration;
Narcissus Poeticus Wax;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;Fragrant flower extract that can cause sensitivity.
Nardostachys Jatamansi;Good;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging;
Nardostachys Jatamansi Extract;Good;Emollient, Plant Extracts, Antioxidant;Hydration, Anti-Aging;
Nasturtium Officinale Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;Nasturtium officinale extract (also referred to as watercress extract) shows potential for its antioxidant activity. That said, studies regarding this ingredient are limited.
Natto Gum;Good;Texture Enhancer;;Fermentation product of soy protein. It may be a potent antioxidant.
Natural Moisturizing Factor (NMF);Best;Humectant;Hydration;NMFs make up an expansive group of ingredients that include amino acids, lactic acid, sodium PCA, various sugars and minerals, and peptides. Together with the naturally-occurring lipids in skin (examples would be ceramides, cholesterol, and glycosaminoglycans), NMF’s work to keep skin’s surface intact and supple.It is worth noting that routine exposure to sensitizing ingredients like drying cleanising agents and denatured alcohol cause serious depletion of skin’s natural moisturizing factors, leading to visibly dry, tight-feeling, flaky skin.
